call_id,city,state,category,subcategory,total_seconds,resolution,transcript
C041750071,Charleston,SC,Billing & Payments,Payment Failure,751,Goodwill credit issued,"Agent (Alex): Thanks for calling T-Mobile, this is Alex. How can I help you today?
Customer: Hi, I'm calling from Charleston, SC. My autopay failed even though my card works.
Agent (Alex): I can help with that. Let me pull up your account.
Agent (Alex): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C666927025,Columbus,OH,Network & Coverage,5G Not Available,1055,Replacement device shipped,"Agent (Logan): Hi, Logan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Columbus, OH. My 5G icon never shows up.
Agent (Logan): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C909893076,San Francisco,CA,Plans & Features,Hotspot Issues,470,Goodwill credit issued,"Agent (Cameron): Hi, Cameron here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from San Francisco, CA. Laptop won't get internet from hotspot.
Agent (Cameron): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C696624586,Miami,FL,Devices & Orders,Upgrade Status,1198,Replacement device shipped,"Agent (Drew): Hi, Drew here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Miami, FL. I want to confirm my trade-in was received.
Agent (Drew): I can help with that. Let me pull up your account.
Agent (Drew): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C741595730,New York,NY,Billing & Payments,Refund Request,972,Goodwill credit issued,"Agent (Rowan): Hi, Rowan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from New York, NY. I returned a phone but haven't seen the refund.
Agent (Rowan): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C046584804,Albuquerque,NM,Devices & Orders,Order Delay,619,Callback scheduled,"Agent (Casey): Thanks for calling T-Mobile, this is Casey. How can I help you today?
Customer: Hi, I'm calling from Albuquerque, NM. Tracking hasn't updated in days.
Agent (Casey): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Casey): I'm checking logs and applying updates on my end.
Agent (Casey): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
C959522462,Charleston,SC,Billing & Payments,Refund Request,617,Pending vendor response,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from Charleston, SC. I returned a phone but haven't seen the refund.
Agent (Jamie): I can help with that. Let me pull up your account.
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
C825076812,Las Vegas,NV,Billing & Payments,Promo Not Applied,511,Goodwill credit issued,"Agent (Parker): You're speaking with Parker from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Las Vegas, NV. My bill doesn't reflect the advertised discount.
Agent (Parker): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Parker): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C004469717,Pittsburgh,PA,Billing & Payments,Overcharge,720,Resolved on first call,"Agent (Harper): Thanks for calling T-Mobile, this is Harper. How can I help you today?
Customer: Hi, I'm calling from Pittsburgh, PA. I was billed twice for last month.
Agent (Harper): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Harper): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C263148484,Las Vegas,NV,Plans & Features,Plan Change,625,Resolved on first call,"Agent (Hayden): Thanks for calling T-Mobile, this is Hayden. How can I help you today?
Customer: Hi, I'm calling from Las Vegas, NV. Please move me to the new Go5G plan.
Agent (Hayden): I'm pushing a network refresh; please toggle airplane mode.
Agent (Hayden): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Hayden): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C065694295,Austin,TX,Plans & Features,Voicemail,675,Goodwill credit issued,"Agent (Rowan): Hi, Rowan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Austin, TX. I can't set up my voicemail greeting.
Agent (Rowan): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Agent (Rowan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C842760763,Seattle,WA,Network & Coverage,No Service,1213,Escalated to Tier 2,"Agent (Riley): You're speaking with Riley from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Seattle, WA. I can't place calls since yesterday.
Agent (Riley): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update."
