call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C458120101,New York,NY,Devices & Orders,Order Delay,865,Pending vendor response,"Agent (Quinn): Thanks for calling T-Mobile, this is Quinn. How can I help you today?
Customer: Hi, I'm calling from New York, NY. Tracking hasn't updated in days.
Agent (Quinn): I'll escalate to Tier 2 and set a callback window.
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Quinn): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",3,0.1,neutral
C169034912,Kansas City,MO,Billing & Payments,Overcharge,858,Replacement device shipped,"Agent (Avery): You're speaking with Avery from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Kansas City, MO. My bill jumped by $30 without reason.
Agent (Avery): I'm pushing a network refresh; please toggle airplane mode.
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C638801207,Nashville,TN,Account & App,App Crash,414,Goodwill credit issued,"Agent (Avery): Thanks for calling T-Mobile, this is Avery. How can I help you today?
Customer: Hi, I'm calling from Nashville, TN. The app crashes on launch.
Agent (Avery): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Avery): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C970690041,Brooklyn,NY,Network & Coverage,No Service,1420,Pending customer action,"Agent (Jordan): Hi, Jordan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Brooklyn, NY. I can't place calls since yesterday.
Agent (Jordan): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jordan): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.2,neutral
C029604690,Des Moines,IA,Account & App,eSIM/SIM,706,Callback scheduled,"Agent (Taylor): Hi, Taylor here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Des Moines, IA. Need help transferring eSIM.
Agent (Taylor): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Taylor): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",3,0.0,neutral
C225533490,Indianapolis,IN,Plans & Features,Voicemail,865,Replacement device shipped,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from Indianapolis, IN. Visual voicemail isn't loading.
Agent (Jamie): I'm pushing a network refresh; please toggle airplane mode.
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.15,neutral
C661500508,Tampa,FL,Network & Coverage,Dropped Calls,926,Resolved after escalation,"Agent (Avery): Hi, Avery here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Tampa, FL. Every call with my mom disconnects.
Agent (Avery): I'm pushing a network refresh; please toggle airplane mode.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.4,negative
C118786233,Manchester,NH,Devices & Orders,Device Setup,645,Escalated to Tier 2,"Agent (Casey): You're speaking with Casey from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Manchester, NH. Can't activate my new phone.
Agent (Casey): I see the issue. I'll file a ticket and apply a credit.
Agent (Casey): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Casey): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.35,negative
C843482184,Nashville,TN,Network & Coverage,Dropped Calls,1114,Goodwill credit issued,"Agent (Cameron): Thanks for calling T-Mobile, this is Cameron. How can I help you today?
Customer: Hi, I'm calling from Nashville, TN. Every call with my mom disconnects.
Agent (Cameron): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C266694950,Dallas,TX,Network & Coverage,Dropped Calls,592,Escalated to Tier 2,"Agent (Taylor): Hi, Taylor here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Dallas, TX. Every call with my mom disconnects.
Agent (Taylor): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",3,0.0,neutral
C007057361,Newark,NJ,Devices & Orders,Order Delay,1078,Resolved on first call,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from Newark, NJ. Tracking hasn't updated in days.
Agent (Taylor): I can help with that. Let me pull up your account.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
